Pharmacy Name,address,phone number,website,business hours,pham services
Holbrook Pharmacy & Surgical,233 Union Ave,631-585-7092,,Mon-Fri 9:00 AM-6:00 PM|Sat 9:00 AM-2:00 PM|,"Compounding, Durable medical equipment sales"
King Kullen Pharmacy,440 Sunrise Hwy,631-758-8292,,Mon-Fri 8:30 AM-9:00 PM|Sat 9:00 AM-6:30 PM|Sun 9:00 AM-5:00 PM|,"Compounding, 24-hour emergency service, Immunization"
Quality Pharmacy,249 Middle Country Rd,631-732-7373,,Mon-Fri 9:00 AM-7:00 PM|Sat 9:00 AM-5:00 PM|,"In-person delivery, Durable medical equipment sales, 24-hour emergency service, Refill notifications"
Prescription Centre & Surgicals,35h Middle Country Rd H,631-698-2868,,Mon-Fri 9:00 AM-8:00 PM|Sat 9:00 AM-5:00 PM|Sun 10:00 AM-3:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales"
Lighthouse Pharmacy,747 Montauk Hwy,631-654-2444,//www.mylighthousepharmacy.com,Mon-Fri 9:30 AM-6:30 PM|Sat 10:00 AM-3:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Convenience packaging"
Rely Rx Inc.,731 Middle Country Rd,631-656-8900,//www.relyrx.com,Mon-Fri 9:00 AM-7:00 PM|Sat 10:00 AM-2:00 PM|,"In-person delivery, Durable medical equipment sales, Immunization, Convenience packaging"
Raan Pharmacy,48 Lowell Ave,631-581-4285,//www.raanpharmacy.com,Mon-Fri 9:00 AM-6:00 PM|Sat 9:00 AM-2:00 PM|,"Compounding, Durable medical equipment sales, Immunization"
Heritage Chemists Pharmacy,150 Route 25a,631-509-4545,//heritagechemists.com,Mon-Fri 9:00 AM-7:00 PM|Sat 9:00 AM-5:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Immunization, Refill notifications"
Echo Pharmacy,56 Echo Ave,631-642-8175,,Mon-Fri 9:00 AM-6:00 PM|Sat 9:00 AM-3:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Immunization"
Shirley Pharmacy And Surgicals,60 Northern Blvd Store#4,631-281-8101,,Mon-Fri 9:00 AM-8:00 PM|Sat 9:00 AM-5:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Refill notifications"
Islip Pharmacy And Surgical,437 Main St,631-581-8077,//www.islippharmacy.com,Mon-Fri 9:00 AM-8:00 PM|Sat 9:00 AM-5:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Convenience packaging"
Brentwood Pharmacy,761 Suffolk Ave,631-273-3314,,Mon-Fri 9:00 AM-9:00 PM|Sat 9:00 AM-8:00 PM|Sun 9:00 AM-6:00 PM|,"In-person delivery, Compounding, Durable medical equipment sales, Immunization, Convenience packaging, Refill notifications"
Salu Med,1805 5th Ave,631-231-4960,//salumed.com,Mon-Fri 9:00 AM-9:00 PM|Sat 9:00 AM-8:00 PM|Sun 9:00 AM-6:00 PM|,"In-person delivery, Compounding, Drive-thru window, Durable medical equipment sales, 24-hour emergency service, Immunization, Refill notifications"
Vanco Pharmacy,30 Vanderbilt Motor Pkwy,631-499-1111,https://www.vancopharmacy.com/,Mon-Fri 9:00 AM-8:00 PM|Sat 9:00 AM-6:00 PM|Sun 9:00 AM-3:00 PM|,
